Professor Name,Professor Profile,Faculty
Nikhil Chandra  Admal,Assistant Professor,Assistant Professor
Andrew G. Alleyne,Ralph & Catherine Fisher Professor,Professor
Marianne  Alleyne,Assistant Professor,Assistant Professor
Blaine  Asay,,Professor
Gaurav  Bahl,George B. Grim Professor,Professor
Arijit  Banerjee,ASST PROF,Assistant Professor
Tamer Basar,Professor,Professor
Rashid  Bashir,Professor,Professor
Carolyn L. Beck,Associate Professor,Associate Professor
Joseph  Bentsman,Professor,Professor
James L. Best,PROF,Professor
Rohit  Bhargava,Professor,Professor
Daniel J. Bodony,Associate Professor,Associate Professor
Paul V. Braun,Professor,Professor
M. Quinn Brewster,"Hermia G. Soo Professor; Director, M.Eng.ME Program",Professor
David Cahill,Professor,Professor
Lili  Cai,Assistant Professor,Assistant Professor
Leonardo Chamorro,Associate Professor,Associate Professor
Marie Agathe Charpagne,,Professor
Ioannis  Chasiotis,Professor,Professor
C. Ricardo Constante Amores,"Assistant Professor, starting August 2024",Assistant Professor
Jiahuan  Cui,,Professor
Geir Dullerud,W. Grafton and Lillian B. Wilkins Professor; Willett Faculty Scholar,Professor
Alison C. Dunn,,Professor
Craig Dutton,Professor,Professor
Gregory S. Elliott,Professor,Professor
Elif  Ertekin,Associate Professor; Andersen Faculty Scholar,Associate Professor
Randy H. Ewoldt,Alexander Rankin Professor,Professor
Nazanin  Farjam,"Assistant Professor, starting August 2024",Assistant Professor
Jie  Feng,Assistant Professor,Assistant Professor
Placid Ferreira,Tungchao Julia Lu Professor,Professor
Paul  Fischer,Professor,Professor
Mattia  Gazzola,Associate Professor; Charles Conrad Kritzer Faculty Scholar,Associate Professor
Philippe Geubelle,Professor,Professor
Nick G. Glumac,Shao Lee Soo Professor; Cannon Faculty Scholar,Professor
Andres Goza,,Professor
Varda Hagh,Assistant Professor,Assistant Professor
Bumsoo Han,Professor,Professor
Kris K. Hauser,Associate Professor,Associate Professor
Sascha  Hilgenfeldt,Professor; Willett Faculty Scholar,Professor
Naira Hovakimyan,W. Grafton and Lillian B. Wilkins Professor; University Scholar; Schaller Faculty Scholar,Professor
Elizabeth T. Hsiao-Wecksler,Grayce Wicall Gauthier Professor,Professor
Huan  Hu,,Professor
Shelby  Hutchens,Associate Professor,Associate Professor
Tony Jacobi,"Department Head, Richard W. Kritzer Distinguished Professor",Professor
Iwona M. Jasiuk,Professor; Richard W. Kritzer Faculty Scholar,Professor
Harley T. Johnson,"Founder Professor; Associate Dean for Research, The Grainger College of Engineering",Professor
Gabriel  Juarez,Assistant Professor,Assistant Professor
Paul J. A. Kenis,Professor,Professor
Mariana E. Kersh,Associate Professor,Associate Professor
Joohyung  Kim,Associate Professor,Associate Professor
Bill King,Ralph A. Andersen Endowed Chair; Faculty at Carle Illinois College of Medicine,Professor
Seid  Koric,Research Associate Professor,Associate Professor
Girish  Krishnan,ASST PROF,Assistant Professor
Waltraud M. Kriven,Professor,Professor
John  Lambros,Professor,Professor
Chia-Fon  Lee,Professor,Professor
Tonghun  Lee,Bei Tse Chao and May Chao Professor,Professor
Xiuling  Li,Professor,Professor
Callan Luetkemeyer,Assistant Professor,Assistant Professor
Arif  Masud,Professor,Professor
Moshe Matalon,Caterpillar Distinguished Professor,Professor
Kathryn  Matlack,Associate Professor; Richard W. Kritzer Faculty Scholar,Associate Professor
Prashant Mehta,Professor,Professor
Glennys Mensing,,Professor
Nenad  Miljkovic,"Founder Professor; Director, ACRC",Professor
Martin  Ostoja-Starzewski,Professor,Professor
Francesco  Panerai,Assistant Professor,Assistant Professor
Marco  Panesi,Professor,Professor
Arne J. Pearlstein,Professor,Professor
Alex Penkov,,Professor
John S. Popovics,Professor,Professor
Joao Ramos,Assistant Professor,Assistant Professor
M Taher A. Saif,Edward William and Jane Marr Gutgsell Professor,Professor
Srinivasa M. Salapaka,Professor,Professor
Theresa Ann Saxton-Fox,Asst Professor,Assistant Professor
Huseyin  Sehitoglu,"Professor; John, Alice and Sarah Nyquist Chair",Professor
Jeff Shamma,Professor,Professor
Chenhui  Shao,,Professor
Ye  Shi,,Professor
Craig Shultz,,Professor
Sanjiv  Sinha,Professor; Associate Head for Undergraduate Programs,Professor
Kyle Smith,Associate Professor,Associate Professor
Petros  Sofronis,"James W. Bayne Professor; Director, International Institute for Carbon-Neutral Energy Research",Professor
Nancy R. Sottos,Professor,Professor
Kelly  Stephani,Associate Professor; Kritzer Faculty Fellow,Associate Professor
Jean-charles Stinville,,Professor
Dusan M. Stipanovic,Professor,Professor
Ann Sychterz,Assistant Professor,Assistant Professor
Sameh Tawfick,Associate Professor; Ralph A. Andersen Faculty Scholar,Associate Professor
Ananias Tomboulides,,Professor
Alex Vakakis,Donald Biggar Willett Professor,Professor
Arend  van der Zande,Associate Professor,Associate Professor
Amy  Wagoner Johnson,Professor; Andersen Faculty Scholar,Professor
Sophie  Wang,Research Associate Professor,Associate Professor
Xinlei  Wang,Professor,Professor
Matthew  West,Professor; William H. Severns Faculty Scholar,Professor
Siyi  Xu,"Assistant Professor, starting August 2024",Assistant Professor
Justin Yim,Assistant Professor,Assistant Professor
X. Shelly Zhang,,Professor
Yuanhui  Zhang,Professor,Professor
